Country,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
United States of America,30,1,30,6,29
United States of America,38,1,38,2,26
United States of America,55,2,31,4,55
Netherlands,33,0,33,2,17
Germany,53,1,45,2,53
Pakistan,166,2,133,1,166
Netherlands,30,1,30,2,19
Germany,34,0,34,0,13
Belgium,39,1,31,3,39
Latvia,54,1,28,2,54
Canada,32,1,22,1,32
France,137,1,26,0,137
India,55,0,22,0,55
Russian Federation,33,1,33,0,22
France,148,1,25,12,148
United States of America,56,2,11,15,56
India,174,4,174,1,162
Germany,44,1,35,4,44
India,122,3,122,0,114
Canada,32,1,32,0,9
India,134,2,47,1,134
United States of America,59,1,45,4,59
United States of America,42,1,42,1,35
United States of America,44,1,33,7,44
United States of America,68,1,44,5,68
Brazil,32,0,9,2,32
Brazil,21,0,18,1,21
United States of America,48,1,29,6,48
Russian Federation,49,1,49,1,20
Russian Federation,48,0,34,0,48
Uganda,160,5,23,1,160
Japan,38,1,38,1,28
Denmark,36,0,36,1,35
Poland,32,1,30,1,32
Côte d'Ivoire,44,1,15,0,44
United States of America,46,1,30,5,46
India,151,0,27,0,151
Belgium,38,1,30,3,38
Bulgaria,41,1,41,0,23
Turkey,41,1,41,0,25
Senegal,29,1,15,0,29
Sri Lanka,58,0,27,0,58
India,151,0,29,0,151
Thailand,36,0,17,0,36
Iran (Islamic Republic of),127,1,43,0,127
Russian Federation,27,1,27,0,6
India,53,0,25,0,53
Uganda,176,5,19,1,176
Turkey,39,1,39,0,32
United Republic of Tanzania,20,0,14,0,20
Sweden,28,0,28,0,10
India,57,0,27,0,57
India,183,3,132,2,183
Turkey,40,1,31,0,40
Germany,52,1,27,3,52
Bangladesh,165,6,74,5,165
United States of America,68,2,15,20,68
United Republic of Tanzania,45,1,20,0,45
Italy,92,2,32,6,92
Italy,74,1,29,6,74
France,88,1,33,6,88
India,234,1,47,0,234
United States of America,45,1,22,10,45
Italy,94,1,37,5,94
Costa Rica,79,2,5,13,79
El Salvador,107,3,20,10,107
,72,1,35,10,72
Trinidad and Tobago,161,0,21,3,161
Brazil,58,1,6,4,58
Colombia,62,2,3,5,62
Brazil,22,0,22,0,14
Brazil,43,1,18,4,43
Brazil,31,0,18,1,31
United States of America,57,2,13,9,57
Japan,45,1,43,3,45
Thailand,41,0,28,0,41
Lao People's Democratic Republic,51,0,29,0,51
Turkmenistan,78,1,47,0,78
India,158,0,33,0,158
Italy,35,1,35,3,17
Netherlands,36,0,36,0,33
United States of America,35,1,33,5,35
Germany,42,0,32,1,42
India,74,1,27,3,74
Brazil,29,1,14,1,29
France,53,1,24,3,53
Portugal,32,1,31,3,32
Italy,36,1,36,3,24
Russian Federation,27,1,27,0,8
Germany,51,1,28,3,51
Germany,51,1,38,1,51
Egypt,166,1,37,1,166
United States of America,52,2,19,13,52
United Republic of Tanzania,20,0,16,0,20
Russian Federation,34,1,34,0,21
Zimbabwe,39,0,17,0,39
India,173,3,173,2,171
Turkey,40,1,40,0,27
Hungary,59,1,40,1,59
Nepal,65,2,44,1,65
Russian Federation,45,1,23,9,45
Ukraine,106,1,40,0,106
Malta,39,1,39,2,21
Ireland,32,0,32,0,13
Poland,33,0,33,0,27
United Republic of Tanzania,37,0,25,0,37
Azerbaijan,31,1,31,0,28
Czechia,59,1,33,2,59
Ukraine,37,1,37,1,11
Russian Federation,43,1,43,0,21
Japan,45,1,45,0,38
Thailand,68,0,19,0,68
Japan,44,1,44,1,18
India,79,0,25,0,79
United States of America,55,1,16,7,55
Japan,43,1,43,1,27
India,79,1,30,1,79
United Republic of Tanzania,31,0,20,0,31
Indonesia,201,5,201,3,167
Philippines,50,0,15,0,50
China,155,3,155,4,104
Brazil,16,0,12,0,16
France,24,1,24,3,22
Colombia,49,2,1,2,49
Romania,67,1,42,0,67
Romania,64,1,37,1,64
Brazil,33,1,13,1,33
Bangladesh,58,2,44,1,58
United States of America,51,1,30,8,51
France,49,1,26,3,49
Italy,99,1,37,4,99
Philippines,84,1,31,1,84
Belgium,43,1,31,3,43
France,50,1,23,5,50
Russian Federation,47,1,39,0,47
Russian Federation,34,1,34,1,34
Germany,52,1,26,3,52
China,146,4,141,5,146
India,162,1,41,0,162
Japan,47,1,47,0,35
Serbia,83,2,40,4,83
Brazil,23,0,14,1,23
Kyrgyzstan,104,1,41,0,104
Italy,42,1,42,1,39
Paraguay,111,3,5,4,111
Brazil,150,4,0,19,150
United Republic of Tanzania,22,0,16,0,22
Japan,46,1,46,0,28
Italy,87,1,39,2,87
Japan,44,1,44,0,35
Brazil,50,1,11,2,50
Mexico,52,1,5,4,52
India,131,0,26,1,131
United Kingdom of Great Britain and Northern Ireland,33,1,30,3,33
Japan,50,1,48,3,50
Uganda,59,2,17,0,59
United States of America,30,0,26,0,30
China,159,3,159,1,118
United States of America,127,4,6,46,127
India,188,2,101,1,188
Brazil,66,2,2,6,66
Ukraine,50,1,35,0,50
Niger,32,1,23,1,32
Nigeria,108,3,26,1,108
Turkey,76,1,27,3,76
Brazil,38,1,8,2,38
France,30,1,28,2,30
Burkina Faso,34,1,13,0,34
Netherlands,35,0,35,1,27
Turkey,39,1,39,0,7
Italy,65,1,20,5,65
France,27,1,26,1,27
Canada,58,1,34,7,58
Belgium,30,0,26,3,30
China,136,3,136,1,94
Kenya,144,6,34,3,144
Germany,41,1,26,2,41
India,133,0,30,0,133
Germany,29,0,29,2,27
Brazil,23,0,23,0,12
Brazil,22,0,9,1,22
Brazil,25,1,10,1,25
Italy,37,1,37,2,25
Paraguay,36,1,19,1,36
Mexico,29,1,10,2,29
Italy,53,1,53,1,37
Italy,50,1,50,1,28
Portugal,23,1,23,1,21
Venezuela (Bolivarian Republic of),141,1,12,8,141
Venezuela (Bolivarian Republic of),139,1,13,7,139
Thailand,59,1,23,0,59
Pakistan,204,4,204,3,188
Germany,50,1,26,3,50
India,65,0,22,0,65
Italy,52,1,52,1,36
Russian Federation,37,1,37,0,27
Brazil,36,1,9,2,36
Colombia,57,2,6,3,57
Ghana,110,3,14,2,110
Turkey,40,1,40,0,14
Spain,40,1,27,1,40
Italy,42,1,38,3,42
United States of America,87,2,21,28,87
Sweden,38,1,38,2,29
India,162,1,39,0,162
Madagascar,21,0,21,0,21
Brazil,15,0,14,0,15
India,145,0,35,0,145
Togo,91,2,22,1,91
Austria,55,1,33,1,55
Iran (Islamic Republic of),78,1,46,0,78
Turkey,39,0,35,0,39
France,35,1,25,2,35
India,228,4,111,4,228
Thailand,50,0,27,0,50
Germany,34,0,29,1,34
Germany,28,0,28,2,27
Indonesia,80,2,69,1,80
Philippines,52,1,17,0,52
India,154,1,39,0,154
United Kingdom of Great Britain and Northern Ireland,26,1,26,4,26
Peru,17,0,5,1,17
Benin,30,2,12,0,30
United Kingdom of Great Britain and Northern Ireland,27,1,22,7,27
India,113,4,111,4,113
,37,1,22,9,37
Romania,65,1,42,0,65
Netherlands,34,0,34,1,26
United States of America,58,1,24,15,58
Romania,70,1,25,4,70
India,500,3,143,4,428
Brazil,26,0,6,2,26
United States of America,78,1,28,3,78
Philippines,60,1,20,0,60
Burkina Faso,61,1,17,3,61
Brazil,25,0,25,0,6
France,30,1,28,2,30
France,30,0,28,1,30
Belgium,30,0,30,2,30
China,166,10,90,22,166
Benin,42,2,15,0,42
China,105,3,91,2,105
Netherlands,33,0,33,2,27
Israel,78,1,44,5,78
United Kingdom of Great Britain and Northern Ireland,39,1,20,7,39
India,500,1,40,0,500
India,128,0,35,0,128
Poland,83,2,22,7,83
India,48,0,22,0,48
United States of America,38,1,38,3,37
United States of America,66,2,19,16,66
Guatemala,73,2,15,6,73
Japan,43,1,43,0,15
United States of America,54,1,35,2,54
Italy,48,1,48,1,25
Indonesia,144,3,144,1,115
France,31,1,28,2,31
,63,1,23,0,63
United States of America,54,1,31,6,54
Chile,45,1,9,6,45
United States of America,54,1,31,6,54
Italy,47,1,37,3,47
Brazil,34,0,12,1,34
Romania,67,1,37,2,67
Ireland,27,1,27,1,13
Italy,47,1,47,2,37
Poland,32,1,29,1,32
Ethiopia,79,1,16,1,79
India,500,1,43,1,481
United States of America,59,1,24,13,59
United States of America,59,1,25,5,59
Germany,40,1,25,3,40
Indonesia,51,1,28,0,51
Germany,41,0,27,2,41
Belgium,34,0,29,3,34
United States of America,60,1,24,4,60
China,163,4,163,4,106
Syrian Arab Republic,86,1,43,1,86
India,82,0,27,0,82
Russian Federation,51,1,34,0,51
Russian Federation,48,1,39,4,48
Canada,25,1,22,1,25
Japan,42,1,42,0,33
United States of America,57,2,16,12,57
China,166,3,166,2,108
Mexico,75,2,6,8,75
Mexico,56,1,10,4,56
Netherlands,30,0,30,1,26
Kazakhstan,39,1,39,0,22
Slovakia,57,1,32,2,57
Slovakia,57,1,30,2,57
India,35,1,14,0,35
Russian Federation,31,1,31,4,29
Germany,32,0,29,1,32
Hungary,76,1,31,4,76
Philippines,52,1,20,0,52
Iran (Islamic Republic of),46,1,38,0,46
Romania,65,1,43,0,65
India,74,1,30,0,74
Mexico,75,2,19,4,75
Mexico,101,2,13,6,101
Thailand,51,0,28,0,51
Myanmar,59,0,23,0,59
Pakistan,170,1,58,1,170
Republic of Moldova,57,1,38,0,57
India,500,3,47,9,500
India,84,0,30,0,84
Brazil,29,1,14,1,29
Italy,49,1,49,1,34
France,30,1,28,2,30
Viet Nam,98,1,43,1,98
India,151,1,25,1,151
India,47,0,27,0,47
United Republic of Tanzania,21,0,15,0,21
Pakistan,168,1,52,1,168
Belgium,36,1,24,4,36
India,151,1,38,0,151
United States of America,69,1,32,5,69
United States of America,40,1,40,3,39
India,146,1,35,0,146
Japan,45,1,45,0,20
United States of America,61,2,22,8,61
United States of America,83,2,19,13,83
China,112,3,112,1,99
Germany,28,0,26,2,28
Australia,22,0,22,0,7
Côte d'Ivoire,72,2,12,0,72
,54,1,54,1,38
Brazil,20,0,14,0,20
France,30,1,25,2,30
United States of America,54,1,25,5,54
Thailand,54,0,25,0,54
Japan,41,1,41,0,25
Venezuela (Bolivarian Republic of),42,0,15,0,42
Russian Federation,30,1,30,1,14
Netherlands,31,0,31,2,28
Republic of North Macedonia,33,1,32,2,33
Portugal,33,1,23,4,33
Finland,30,1,30,2,10
Mexico,62,1,10,6,62
India,65,1,33,0,65
Italy,47,1,47,1,41
Italy,64,1,29,7,64
Mexico,76,3,11,5,76
Mexico,62,2,9,6,62
Japan,40,1,40,2,34
Italy,45,1,45,0,33
Ukraine,34,1,26,0,34
Mexico,36,1,22,0,36
Italy,33,1,33,2,23
India,84,0,33,0,84
United States of America,78,2,13,27,78
Bangladesh,170,2,72,1,170
Romania,51,1,40,0,51
Iran (Islamic Republic of),59,1,39,0,59
India,106,2,47,1,106
India,161,0,36,0,161
United States of America,99,3,3,28,99
Germany,28,1,28,3,27
United Kingdom of Great Britain and Northern Ireland,74,0,32,0,74
Portugal,39,0,29,1,39
Brazil,41,1,10,5,41
United States of America,67,1,45,5,67
Germany,35,1,35,1,30
United States of America,75,2,8,27,75
Spain,31,1,31,1,21
India,120,0,30,0,120
United Republic of Tanzania,30,0,16,0,30
India,304,1,48,1,268
Azerbaijan,55,1,39,0,55
Iran (Islamic Republic of),157,2,157,3,135
China,232,21,16,28,232
Dominican Republic,100,1,18,4,100
Democratic Republic of the Congo,129,2,24,1,129
France,71,2,28,5,71
Indonesia,25,0,15,0,25
Brazil,28,1,16,2,28
Spain,21,0,21,1,10
Switzerland,59,1,31,1,59
Germany,75,2,33,7,75
Spain,59,1,27,2,59
Mexico,48,1,22,1,48
Russian Federation,32,1,32,0,28
Uganda,74,1,19,0,74
India,156,2,73,0,156
India,148,3,87,2,148
,35,1,35,0,18
United States of America,99,2,15,13,99
United States of America,84,2,19,18,84
China,73,2,73,1,47
Germany,68,1,38,3,68
Japan,50,1,39,0,50
Mozambique,38,1,24,0,38
United States of America,53,1,32,4,53
United Kingdom of Great Britain and Northern Ireland,23,1,23,1,18
Tajikistan,138,1,63,0,138
Brazil,35,1,6,2,35
United States of America,77,2,8,9,77
Colombia,69,2,3,6,69
India,84,2,43,3,84
India,95,2,62,1,95
United States of America,70,2,20,18,70
Uganda,78,2,30,0,78
China,51,2,29,3,51
China,74,2,74,1,68
Brazil,89,3,0,6,89
Lithuania,39,1,39,0,29
El Salvador,104,3,5,17,104
Brazil,70,2,4,6,70
India,164,3,164,0,164
Portugal,28,1,28,3,18
United States of America,61,2,12,17,61
Brazil,19,0,19,0,17
United States of America,50,1,13,5,50
Poland,78,1,37,3,78
,131,1,18,2,131
Indonesia,66,1,44,1,66
Tunisia,103,1,44,0,103
Israel,98,3,40,11,98
Guatemala,76,2,7,8,76
Brazil,25,1,4,0,25
India,174,1,48,0,174
Italy,55,1,42,1,55
Spain,26,0,26,2,14
Italy,73,1,42,2,73
United States of America,114,3,14,13,114
Colombia,106,2,12,7,106
Panama,69,1,22,4,69
Saudi Arabia,167,1,122,0,167
France,66,1,30,3,66
France,72,2,27,6,72
,40,1,40,1,10
India,74,2,48,0,74
United States of America,50,1,33,7,50
United States of America,72,2,17,16,72
Burkina Faso,49,1,18,0,49
India,55,1,42,0,55
United States of America,41,1,21,3,41
Germany,58,1,34,3,58
,25,1,22,3,25
Bolivia (Plurinational State of),35,1,3,0,35
Mexico,45,1,27,2,45
Brazil,14,1,4,0,14
Italy,58,1,35,2,58
China,151,4,43,4,151
United States of America,67,2,7,9,67
Democratic Republic of the Congo,191,9,35,4,191
,37,1,37,2,31
Sri Lanka,54,0,21,0,54
Iran (Islamic Republic of),222,5,222,7,163
Japan,29,0,29,1,28
Kenya,84,2,25,1,84
Pakistan,165,1,44,0,165
Pakistan,158,3,156,1,158
India,100,1,29,1,100
Burundi,84,4,23,1,84
India,163,3,128,1,163
Portugal,22,1,20,5,22
Spain,41,1,41,1,30
United States of America,71,2,22,11,71
Canada,67,1,32,2,67
Costa Rica,55,1,5,7,55
United Kingdom of Great Britain and Northern Ireland,33,1,33,3,21
Italy,66,1,44,1,66
Portugal,29,1,29,4,26
Brazil,23,0,13,1,23
United States of America,96,1,24,3,96
Panama,69,1,22,4,69
United States of America,56,1,27,5,56
Indonesia,67,1,38,1,67
India,119,1,33,0,119
Germany,79,2,31,6,79
Turkey,56,1,36,0,56
Ukraine,44,1,44,0,10
Chad,110,2,33,1,110
United States of America,37,1,22,15,37
United Republic of Tanzania,24,0,17,0,24
Italy,43,1,43,1,22
Indonesia,60,1,26,0,60
France,66,1,30,3,66
Italy,67,1,36,4,67
United States of America,47,1,27,9,47
Brazil,172,8,1,17,172
United States of America,67,1,7,20,67
Germany,61,1,34,4,61
Germany,74,1,39,2,74
Italy,62,1,42,2,62
France,80,2,18,8,80
Poland,31,1,31,0,21
China,69,2,48,0,69
Germany,53,1,37,4,53
United States of America,61,2,5,12,61
Angola,172,5,33,6,172
Switzerland,62,1,33,1,62
United Republic of Tanzania,24,0,23,0,24
Brazil,220,9,8,28,220
India,132,3,79,2,132
,119,1,119,0,76
Mexico,56,1,25,3,56
Philippines,36,1,22,0,36
Italy,87,1,37,3,87
Mexico,45,1,25,2,45
,26,1,26,5,25
Brazil,18,1,4,3,18
United States of America,43,1,28,7,43
Germany,65,1,36,2,65
Czechia,70,1,40,1,70
United States of America,63,2,31,9,63
United States of America,64,2,31,10,64
Germany,68,1,39,3,68
Sri Lanka,59,0,26,0,59
France,70,2,27,6,70
Netherlands,50,1,22,7,50
Switzerland,63,1,30,2,63
Philippines,31,1,31,0,20
India,93,2,54,1,93
Russian Federation,39,1,37,0,39
Paraguay,160,8,0,5,160
Spain,19,0,17,3,19
Colombia,65,2,0,5,65
France,53,1,28,2,53
France,57,1,30,1,57
France,71,2,28,6,71
Germany,56,1,36,2,56
United States of America,46,1,30,7,46
United Kingdom of Great Britain and Northern Ireland,32,1,32,3,22
United States of America,67,1,37,4,67
United States of America,47,1,30,7,47
Kenya,73,2,26,1,73
Italy,68,1,36,2,68
India,156,2,83,0,156
Thailand,42,0,21,0,42
Indonesia,53,1,31,0,53
United States of America,58,2,35,6,58
United States of America,56,1,24,9,56
Central African Republic,77,2,14,0,77
Haiti,77,2,28,2,77
Ethiopia,126,1,32,0,126
United States of America,88,2,21,17,88
France,69,2,23,4,69
India,169,1,54,0,169
India,142,1,40,0,142
Germany,55,1,17,10,55
Mexico,222,4,3,20,222
India,78,2,48,1,78
,30,1,30,3,28
Cuba,67,1,31,2,67
Spain,60,1,25,4,60
Romania,55,1,43,1,55
United States of America,53,1,31,6,53
Colombia,49,1,10,3,49
United Kingdom of Great Britain and Northern Ireland,24,1,24,5,24
United States of America,101,2,15,4,101
Burkina Faso,67,1,21,2,67
Romania,52,1,39,1,52
Netherlands,38,1,24,6,38
Uzbekistan,65,1,44,0,65
Germany,56,1,39,2,56
Indonesia,28,0,15,0,28
Russian Federation,39,1,35,0,39
France,60,1,29,2,60
Belgium,65,1,26,7,65
Brazil,40,1,2,0,40
United States of America,61,2,23,13,61
Iran (Islamic Republic of),152,1,67,0,152
Netherlands,38,1,29,5,38
Belgium,43,1,38,2,43
India,168,4,167,1,168
United States of America,58,1,10,15,58
Norway,39,1,39,0,14
Mexico,107,2,17,3,107
Thailand,22,0,22,0,17
Pakistan,168,3,168,1,152
India,86,3,60,1,86
Thailand,45,1,26,0,45
Guatemala,77,2,7,5,77
India,31,1,26,0,31
Philippines,62,1,25,2,62
Greece,88,1,44,0,88
India,151,2,117,0,151
Italy,61,1,38,3,61
Colombia,32,1,5,1,32
Indonesia,123,4,123,1,123
United States of America,62,2,27,7,62
Indonesia,39,1,16,0,39
Spain,39,1,24,3,39
Mexico,54,1,29,3,54
United States of America,73,2,3,20,73
Thailand,43,0,25,0,43
Germany,55,1,30,5,55
Poland,33,1,33,1,27
France,51,2,16,15,51
Ukraine,37,1,37,0,12
Venezuela (Bolivarian Republic of),113,1,20,1,113
United States of America,57,1,26,8,57
Brazil,26,1,17,2,26
Italy,71,1,46,1,71
France,45,1,45,1,22
United States of America,40,1,32,4,40
,45,1,40,1,45
China,206,12,3,51,206
China,155,6,66,19,155
China,168,6,67,18,168
China,56,1,24,5,56
Japan,82,2,15,13,82
Netherlands,31,1,31,2,23
United States of America,39,1,39,1,27
Iran (Islamic Republic of),72,1,46,0,72
Iran (Islamic Republic of),109,1,105,0,109
Turkey,34,1,34,0,31
Democratic Republic of the Congo,66,3,8,0,66
Spain,28,1,17,5,28
Iran (Islamic Republic of),68,1,45,0,68
Switzerland,61,2,21,5,61
Mexico,53,1,15,3,53
Germany,64,1,39,2,64
Netherlands,58,1,36,4,58
Mali,113,1,21,1,113
Netherlands,38,1,33,4,38
Brazil,48,1,7,3,48
Mexico,57,2,19,2,57
Libya,183,1,41,0,183
Ethiopia,74,1,28,0,74
Italy,65,1,32,2,65
Spain,40,1,26,6,40
United States of America,60,2,22,9,60
Colombia,56,1,7,3,56
India,46,1,26,0,46
Portugal,29,1,29,3,19
,79,1,20,1,79
Nigeria,73,2,22,1,73
Colombia,60,2,7,3,60
United States of America,64,2,13,19,64
Germany,55,1,36,3,55
United States of America,35,1,31,7,35
United Kingdom of Great Britain and Northern Ireland,38,1,38,3,14
Russian Federation,32,1,32,0,7
Indonesia,159,3,135,1,159
Germany,36,1,33,2,36
Ukraine,37,1,34,1,37
France,24,0,24,1,17
Poland,76,1,42,0,76
United States of America,103,5,6,41,103
Belgium,36,1,32,3,36
United States of America,72,1,16,13,72
Colombia,39,1,3,3,39
Mexico,83,2,14,3,83
Venezuela (Bolivarian Republic of),53,1,13,1,53
Israel,103,1,45,1,103
United States of America,73,2,14,19,73
United States of America,65,2,6,10,65
Mexico,61,1,28,1,61
Brazil,26,1,19,0,26
Germany,41,1,36,1,41
Turkey,54,1,34,0,54
United States of America,67,2,17,16,67
India,193,3,166,1,193
Turkey,41,1,34,0,41
Mexico,69,1,12,2,69
United States of America,51,1,42,3,51
United States of America,57,2,34,11,57
Italy,41,1,41,2,38
United States of America,81,3,7,22,81
Finland,43,1,43,2,38
Russian Federation,45,1,27,0,45
Japan,43,1,43,1,38
India,153,0,25,0,153
India,151,4,151,2,144
Canada,31,1,31,2,16
United States of America,39,1,22,7,39
Morocco,49,1,32,6,49
United States of America,24,0,24,1,19
Iran (Islamic Republic of),155,1,55,1,155
Ukraine,36,1,36,2,18
Russian Federation,34,1,34,0,23
United States of America,39,1,39,3,26
Kenya,150,10,28,6,150
Ukraine,44,1,39,0,44
India,102,1,22,2,102
India,79,1,24,0,79
Ukraine,42,1,42,0,42
Iceland,23,1,23,0,21
Burkina Faso,55,1,17,0,55
Russian Federation,33,1,33,0,29
Cambodia,50,1,27,0,50
Indonesia,203,4,203,4,158
Nigeria,57,2,21,0,57
Japan,34,1,34,3,19
Turkey,44,1,44,0,27
Philippines,42,0,13,0,42
United States of America,44,1,37,4,44
Italy,77,1,43,4,77
Switzerland,41,1,22,3,41
China,149,4,149,2,120
Zambia,27,1,17,0,27
Italy,69,1,45,2,69
Cameroon,73,2,26,0,73
Mexico,47,1,9,3,47
France,40,1,23,3,40
United Kingdom of Great Britain and Northern Ireland,33,0,33,1,10
China,200,3,200,1,109
Belgium,46,1,30,3,46
Sweden,36,0,36,0,14
Sierra Leone,71,1,22,0,71
Russian Federation,69,1,24,11,69
United States of America,118,4,3,41,118
France,107,2,24,4,107
Russian Federation,36,1,36,0,22
Japan,47,1,47,0,38
Hungary,67,1,39,0,67
India,60,1,28,2,60
Mexico,71,2,8,6,71
Spain,34,1,19,4,34
,59,2,36,8,59
Japan,40,1,40,1,16
France,58,1,22,4,58
Russian Federation,48,1,48,1,33
Italy,39,1,28,4,39
France,72,2,20,6,72
Italy,74,2,37,7,74
Italy,50,1,47,2,50
Belgium,42,1,30,4,42
Pakistan,161,3,129,1,161
Brazil,83,2,11,4,83
Thailand,21,0,21,0,17
Germany,46,1,41,2,46
Germany,52,1,45,2,52
United States of America,73,2,30,8,73
Italy,54,1,54,2,51
France,46,0,46,0,15
Serbia,49,1,33,0,49
Finland,43,1,38,4,43
China,58,1,39,8,58
Libya,46,1,40,0,46
United States of America,154,3,15,5,154
Japan,38,1,38,1,28
United Republic of Tanzania,33,1,15,0,33
India,174,1,37,0,174
Italy,68,1,42,5,68
Italy,44,1,29,3,44
Belgium,56,1,27,4,56
Italy,82,1,39,3,82
France,150,1,34,2,150
Brazil,14,0,14,0,9
Belgium,42,1,27,5,42
Japan,50,1,46,2,50
France,150,1,30,2,150
Malawi,50,1,19,0,50
Uganda,68,2,14,0,68
India,177,1,46,0,177
United Republic of Tanzania,22,0,16,0,22
Ukraine,41,1,41,0,22
Denmark,36,0,36,0,17
Libya,191,1,27,0,191
Philippines,42,1,35,0,42
Uganda,58,1,20,0,58
Netherlands,36,1,34,2,36
Belgium,37,1,30,3,37
Paraguay,20,1,8,0,20
India,174,3,156,3,174
United States of America,60,2,14,20,60
United States of America,65,1,34,1,65
United States of America,42,1,40,6,42
United States of America,38,1,27,6,38
United States of America,53,1,12,10,53
Zimbabwe,68,3,15,1,68
Poland,86,1,36,1,86
France,55,2,28,3,55
Germany,69,1,36,3,69
Romania,68,1,38,1,68
Brazil,45,1,11,0,45
Poland,75,1,39,1,75
United States of America,55,2,25,10,55
Bangladesh,65,1,32,1,65
Brazil,32,1,6,2,32
China,81,2,40,4,81
Mexico,58,1,11,4,58
United States of America,46,1,30,3,46
Italy,67,1,28,4,67
France,71,2,27,6,71
Italy,60,2,47,8,60
Poland,74,1,40,2,74
United Kingdom of Great Britain and Northern Ireland,28,1,28,2,15
United States of America,38,1,38,4,33
Turkey,41,1,41,0,28
Germany,64,2,29,8,64
Colombia,40,1,17,0,40
Egypt,109,2,47,4,109
Egypt,117,2,74,7,117
United States of America,61,2,33,6,61
Switzerland,52,1,30,1,52
South Africa,151,7,14,6,151
Japan,55,1,46,2,55
Czechia,65,1,37,1,65
Belgium,67,1,28,7,67
United States of America,48,1,31,5,48
Cuba,54,1,23,3,54
United States of America,103,2,7,14,103
Thailand,42,1,25,0,42
Mexico,30,0,30,2,3
France,55,1,34,1,55
South Africa,150,6,29,5,150
United States of America,48,0,24,0,48
India,181,4,181,2,176
Madagascar,41,1,16,0,41
United States of America,63,2,35,9,63
Brazil,23,1,15,2,23
Germany,71,2,36,5,71
Brazil,60,1,6,2,60
United States of America,77,2,17,21,77
Germany,57,1,32,4,57
China,43,1,43,0,38
,47,1,45,0,47
France,30,1,24,8,30
Germany,59,1,25,6,59
Turkey,57,1,38,0,57
,68,1,44,0,68
Colombia,46,1,10,4,46
Mexico,76,3,3,7,76
Kenya,82,2,23,0,82
Italy,67,1,37,4,67
Brazil,51,1,7,3,51
Japan,26,0,26,1,22
Japan,52,1,43,2,52
Spain,25,1,19,3,25
United States of America,45,2,45,6,45
Italy,63,1,35,3,63
Mozambique,25,0,20,0,25
Italy,52,2,45,5,52
Canada,68,1,22,5,68
United States of America,41,1,41,2,38
Switzerland,63,1,24,2,63
France,52,1,32,5,52
Russian Federation,61,1,45,0,61
Greece,97,1,39,6,97
Dominican Republic,124,1,12,6,124
Israel,90,2,43,5,90
Burundi,61,3,21,1,61
Netherlands,30,1,25,5,30
Italy,56,1,34,3,56
United States of America,44,1,10,5,44
Finland,34,1,34,1,17
China,84,2,84,1,81
United States of America,66,2,14,25,66
United States of America,50,1,13,12,50
Italy,68,1,31,4,68
Nicaragua,43,1,19,0,43
Central African Republic,26,2,7,0,26
United States of America,46,1,27,5,46
Mexico,48,1,25,2,48
Poland,55,1,36,1,55
Germany,58,1,37,2,58
United States of America,52,1,39,3,52
France,46,1,36,2,46
Germany,62,1,28,6,62
Germany,69,1,27,4,69
Viet Nam,154,4,154,1,145
Mexico,197,2,8,12,197
China,202,3,202,10,153
Belgium,63,1,31,5,63
United States of America,55,2,19,7,55
Russian Federation,27,1,27,0,19
Tajikistan,90,1,66,0,90
Germany,58,1,40,1,58
Russian Federation,45,1,28,0,45
Italy,65,1,37,2,65
Spain,36,1,32,1,36
United States of America,60,1,23,12,60
France,62,1,33,1,62
France,53,1,32,2,53
France,36,1,28,3,36
Bosnia and Herzegovina,71,1,41,0,71
Slovakia,79,1,41,1,79
Germany,69,1,36,3,69
Russian Federation,38,1,38,0,4
Brazil,45,1,11,5,45
Kazakhstan,34,1,34,0,19
Kazakhstan,40,1,40,0,34
Japan,67,1,67,2,61
Germany,65,1,36,2,65
India,163,1,43,0,163
Nigeria,65,2,29,1,65
Italy,79,2,22,5,79
India,30,1,22,0,30
Netherlands,54,1,35,4,54
Angola,103,2,31,1,103
Germany,71,1,37,2,71
,81,2,17,23,81
Turkey,41,1,38,0,41
Indonesia,67,1,36,1,67
United States of America,55,1,16,3,55
,51,1,20,2,51
Italy,67,1,36,4,67
Russian Federation,39,1,39,0,38
Spain,25,0,25,0,9
Mexico,54,1,26,1,54
Brazil,19,1,8,1,19
Spain,47,2,32,4,47
Mexico,176,3,8,9,176
Thailand,41,0,18,0,41
China,47,2,37,0,47
Belgium,51,1,36,3,51
India,50,1,33,0,50
Russian Federation,40,1,40,0,28
United States of America,90,2,17,18,90
United States of America,69,2,25,12,69
United Kingdom of Great Britain and Northern Ireland,35,1,35,3,17
Netherlands,53,1,35,5,53
United States of America,91,3,7,31,91
Canada,48,1,18,1,48
Netherlands,61,1,26,6,61
Russian Federation,54,1,41,1,54
Russian Federation,32,1,32,0,21
Hungary,64,1,37,1,64
Thailand,27,0,23,0,27
Malaysia,69,2,45,2,69
Malaysia,73,2,30,1,73
Mexico,44,1,24,2,44
Spain,47,1,34,1,47
Bangladesh,66,2,27,3,66
France,67,1,46,1,67
Germany,44,1,44,0,33
Iran (Islamic Republic of),124,1,40,6,124
Japan,56,1,28,8,56
Germany,52,1,47,0,52
Brazil,21,0,21,0,16
Côte d'Ivoire,31,1,20,0,31
